NAME_FILE,DATE,CLASS,BACKGROUND,LIGHT,INDOOR
COLHER_DIA_INDOOR_ESCURO1a.jpg,2020-09-26,COLHER,ESCURO,True,True
COLHER_DIA_INDOOR_ESCURO1b.jpg,2020-09-26,COLHER,ESCURO,True,True
COLHER_DIA_INDOOR_ESCURO1c.jpg,2020-09-26,COLHER,ESCURO,True,True
COLHER_DIA_OUTDOOR_ESCURO1a.jpg,2020-09-26,COLHER,ESCURO,True,False
COLHER_DIA_OUTDOOR_ESCURO1b.jpg,2020-09-26,COLHER,ESCURO,True,False
COLHER_DIA_OUTDOOR_ESCURO1c.jpg,2020-09-26,COLHER,ESCURO,True,False
COLHER_NOITE_INDOOR_ESCURO1a.jpg,2020-09-26,COLHER,ESCURO,False,True
COLHER_NOITE_INDOOR_ESCURO1b.jpg,2020-09-26,COLHER,ESCURO,False,True
COLHER_NOITE_INDOOR_ESCURO1c.jpg,2020-09-26,COLHER,ESCURO,False,True
COLHER_NOITE_OUTDOOR_ESCURO1a.jpg,2020-09-26,COLHER,ESCURO,False,False
COLHER_NOITE_OUTDOOR_ESCURO1b.jpg,2020-09-26,COLHER,ESCURO,False,False
COLHER_NOITE_OUTDOOR_ESCURO1c.jpg,2020-09-26,COLHER,ESCURO,False,False
COLHER_DIA_INDOOR_CLARO1a.jpg,2020-09-26,COLHER,CLARO,True,True
COLHER_DIA_INDOOR_CLARO1b.jpg,2020-09-26,COLHER,CLARO,True,True
COLHER_DIA_INDOOR_CLARO1c.jpg,2020-09-26,COLHER,CLARO,True,True
COLHER_DIA_OUTDOOR_CLARO1a.jpg,2020-09-26,COLHER,CLARO,True,False
COLHER_DIA_OUTDOOR_CLARO1b.jpg,2020-09-26,COLHER,CLARO,True,False
COLHER_DIA_OUTDOOR_CLARO1c.jpg,2020-09-26,COLHER,CLARO,True,False
COLHER_NOITE_INDOOR_CLARO1a.jpg,2020-09-26,COLHER,CLARO,False,True
COLHER_NOITE_INDOOR_CLARO1b.jpg,2020-09-26,COLHER,CLARO,False,True
COLHER_NOITE_INDOOR_CLARO1c.jpg,2020-09-26,COLHER,CLARO,False,True
COLHER_NOITE_OUTDOOR_CLARO1a.jpg,2020-09-26,COLHER,CLARO,False,False
COLHER_NOITE_OUTDOOR_CLARO1b.jpg,2020-09-26,COLHER,CLARO,False,False
COLHER_NOITE_OUTDOOR_CLARO1c.jpg,2020-09-26,COLHER,CLARO,False,False
COLHER_DIA_INDOOR_MADEIRA1a.jpg,2020-09-26,COLHER,MADEIRA,True,True
COLHER_DIA_INDOOR_MADEIRA1b.jpg,2020-09-26,COLHER,MADEIRA,True,True
COLHER_DIA_INDOOR_MADEIRA1c.jpg,2020-09-26,COLHER,MADEIRA,True,True
COLHER_DIA_OUTDOOR_MADEIRA1a.jpg,2020-09-26,COLHER,MADEIRA,True,False
COLHER_DIA_OUTDOOR_MADEIRA1b.jpg,2020-09-26,COLHER,MADEIRA,True,False
COLHER_DIA_OUTDOOR_MADEIRA1c.jpg,2020-09-26,COLHER,MADEIRA,True,False
COLHER_NOITE_INDOOR_MADEIRA1a.jpg,2020-09-26,COLHER,MADEIRA,False,True
COLHER_NOITE_INDOOR_MADEIRA1b.jpg,2020-09-26,COLHER,MADEIRA,False,True
